Name,URL
Наталка Сняданко,https://uk.wikipedia.org/wiki/%D0%A1%D0%BD%D1%8F%D0%B4%D0%B0%D0%BD%D0%BA%D0%BE_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8F_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Юрій Андрухович,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D1%83%D1%85%D0%BE%D0%B2%D0%B8%D1%87_%D0%AE%D1%80%D1%96%D0%B9_%D0%86%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Оксана Іваненко,https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D0%B0%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Володимир Владко,https://uk.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Люко Дашвар,https://uk.wikipedia.org/wiki/%D0%9B%D1%8E%D0%BA%D0%BE_%D0%94%D0%B0%D1%88%D0%B2%D0%B0%D1%80
Євгенія Кононенко,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D0%BE%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D1%96%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Брати Капранови,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D0%B8_%D0%9A%D0%B0%D0%BF%D1%80%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8
Василь Шкляр,https://uk.wikipedia.org/wiki/%D0%A8%D0%BA%D0%BB%D1%8F%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Олександр Терех,https://uk.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B5%D1%85_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Докія Гуменна,https://uk.wikipedia.org/wiki/%D0%93%D1%83%D0%BC%D0%B5%D0%BD%D0%BD%D0%B0_%D0%94%D0%BE%D0%BA%D1%96%D1%8F_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D1%96%D0%B2%D0%BD%D0%B0
Петро Масляк,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D0%BB%D1%8F%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
