Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Олександр Краснов,Краснов Олександр Геннадійович,1960.0,,Леб'яже,Лебяжье ауылдық округі,,https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B2_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,KK,M,,Казахстан
Олександр Корсун,Корсун Олександр Олексійович,1818.0,1891.0,Богданівська,Кропивницький,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%81%D1%83%D0%BD_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Кіровоградська
Олександр Головко,Головко Олександр Борисович (футболіст),1972.0,,,,,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87_(%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D1%96%D1%81%D1%82),,F,,
Олександр Вдовиченко,Удовиченко Олександр Іванович,1887.0,,Харків,Харківський,,https://uk.wikipedia.org/wiki/%D0%A3%D0%B4%D0%BE%D0%B2%D0%B8%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Харківська
Олександр Біленький,Біленький Олександр Юрійович,1974.0,,Решетилівка,Полтавський,,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%AE%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Полтавська
Олександер Яната,Яната Олександр Алоїзович,1888.0,1938.0,Миколаїв,Миколаївський,,https://uk.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B0%D1%82%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%BE%D1%97%D0%B7%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Миколаївська
Олекса Корнієнко,Корнієнко Олексій Зосимович,1919.0,2003.0,Маракучка,Охтирський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BD%D1%96%D1%94%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%97%D0%BE%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Сумська
Олег Коверко,Олег Коверко,1937.0,,Вага,Північно-Західний федеральний округ,,https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D0%B3_%D0%9A%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%BE,RU,M,,Росія
Олег Білорус,Білорус Олег Григорович,1939.0,,Фастівський район,Фастівський,,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%BE%D1%80%D1%83%D1%81_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Київська
Оксана Юркова,Юркова Оксана Віталіївна,1967.0,,Київ,,,https://uk.wikipedia.org/wiki/%D0%AE%D1%80%D0%BA%D0%BE%D0%B2%D0%B0_%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,Україна
Оксана Маркарова,Маркарова Оксана Сергіївна,1976.0,,Рівне,Рівненський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA%D0%B0%D1%80%D0%BE%D0%B2%D0%B0_%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,Рівненська
Ніла Зборовська,Зборовська Ніла Вікторівна,1962.0,2011.0,Черкаська область,,,https://uk.wikipedia.org/wiki/%D0%97%D0%B1%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D1%96%D0%BB%D0%B0_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,Черкаська
Никанор Дубицький,Дубицький Никанор Миколайович,1937.0,2018.0,Ніверка,Кам’янець-Подільський,,https://uk.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%B0%D0%BD%D0%BE%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Хмельницька
Неоніла Рипська,Рипська Неоніла Павлівна,1918.0,,,,,https://uk.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BF%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B5%D0%BE%D0%BD%D1%96%D0%BB%D0%B0_%D0%9F%D0%B0%D0%B2%D0%BB%D1%96%D0%B2%D0%BD%D0%B0,,M,,
Наталія Пасічник,Пасічник Наталія Іванівна,1984.0,,Теребовля,Тернопільський,,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%81%D1%96%D1%87%D0%BD%D0%B8%D0%BA_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%96%D1%8F_%D0%86%D0%B2%D0%B0%D0%BD%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,Тернопільська
Наталія Мусієнко,Мусієнко Наталія Борисівна,1959.0,,Київ,,,https://uk.wikipedia.org/wiki/%D0%9C%D1%83%D1%81%D1%96%D1%94%D0%BD%D0%BA%D0%BE_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%96%D1%8F_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,Україна
Назим Якупов,Якупов Назим Мухаметзянович,1928.0,,Елга,Алгашинское сельское поселение,,https://uk.wikipedia.org/wiki/%D0%AF%D0%BA%D1%83%D0%BF%D0%BE%D0%B2_%D0%9D%D0%B0%D0%B7%D0%B8%D0%BC_%D0%9C%D1%83%D1%85%D0%B0%D0%BC%D0%B5%D1%82%D0%B7%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,Росія
Назар Петренко,Петренко Назар Антонович,1892.0,1938.0,Україна,,,https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9D%D0%B0%D0%B7%D0%B0%D1%80_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Україна
Надія Дюк,Надія Дюк,1954.0,2019.0,Лондон,Великий Лондон,,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B4%D1%96%D1%8F_%D0%94%D1%8E%D0%BA,EN,F,,Велика Британія
Михайло Білинський,Білинський Михайло Іванович,1883.0,1921.0,Драбів,Золотоніський,,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Черкаська
Мирослава Барчук,Барчук Мирослава Анатоліївна,1968.0,,Київ,,,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D1%87%D1%83%D0%BA_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B0_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,Україна
Мирослав Крлежа,Мирослав Крлежа,1893.0,1981.0,Загреб,,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%9A%D1%80%D0%BB%D0%B5%D0%B6%D0%B0,HR,M,,Хорватія
Микола Ценко,Ценко Микола,1910.0,1995.0,Нижнє Синьовидне,Стрийський,,https://uk.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0,UK,M,,Львівська
Микола Хвильовий,Микола Хвильовий,1893.0,1933.0,Тростянець,Охтирський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A5%D0%B2%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D0%B9,UK,M,,Сумська
Олесь Досвітній,Олесь Досвітній,1891.0,1934.0,Вовча,,,https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D1%81%D1%8C_%D0%94%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%BD%D1%96%D0%B9,UK,M,,Україна
Микола Ушаков,Ушаков Микола Миколайович,1899.0,1973.0,Ростов-на-Дону,Міський округ Ростов-на-Дону,,https://uk.wikipedia.org/wiki/%D0%A3%D1%88%D0%B0%D0%BA%D0%BE%D0%B2_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,Росія
Микола Ткаченко,Ткаченко Микола Михайлович,1893.0,1965.0,Тальне,Звенигородський,,https://uk.wikipedia.org/wiki/%D0%A2%D0%BA%D0%B0%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,F,,Черкаська
Микола Тимошик,Тимошик Микола Степанович,1956.0,,Данина,Ніжинський,,https://uk.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D0%BE%D1%88%D0%B8%D0%BA_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Чернігівська
Микола Семена,Семена Микола Михайлович,1950.0,,Вороньки,Лубенський,,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D0%B5%D0%BD%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Полтавська
Микола Кульчинський,Кульчинський Микола Георгійович,1947.0,,Дубно,Дубенський,,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D1%8C%D1%87%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,Рівненська
Микола Зимомря,Зимомря Микола Іванович,1946.0,,Голятин,Хустський,,https://uk.wikipedia.org/wiki/%D0%97%D0%B8%D0%BC%D0%BE%D0%BC%D1%80%D1%8F_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Україна
Микола Джига,Джига Микола Васильович,1949.0,,Шаргородський район,Шаргородський,,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%B8%D0%B3%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Вінницька
Микола Гнатишак,Гнатишак Микола,1903.0,1973.0,Ґміна Ярослав,,,https://uk.wikipedia.org/wiki/%D0%93%D0%BD%D0%B0%D1%82%D0%B8%D1%88%D0%B0%D0%BA_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0,,M,,Республіка Польща
Микола Венгер,Венгер Микола,,,Україна,,,https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B3%D0%B5%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0,UK,M,,Україна
Микола Величківський,Величківський Микола Іванович,1889.0,1976.0,Житомир,Житомирський,,https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D1%87%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Житомирська
Микола Варварцев,Варварцев Микола Миколайович,1929.0,2020.0,Київ,,,https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D1%80%D0%B2%D0%B0%D1%80%D1%86%D0%B5%D0%B2_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Україна
Микола Білик,Білик Микола Ілліч,1953.0,,Центр первинної медико-санітарної допомоги Новоселицького району,Центр первинної медико-санітарної допомоги Новоселицького,,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%B8%D0%BA_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%86%D0%BB%D0%BB%D1%96%D1%87,UK,M,,Чернівецька
Микола Бутович,Бутович Микола Григорович,1895.0,1961.0,Петропавлівка,Щастинський,,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%82%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Луганська
Мацько Віталій,Мацько Віталій Петрович,1952.0,,Хмельницька область,,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%86%D1%8C%D0%BA%D0%BE_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Хмельницька
Михайло Литвинець,Литвинець Михайло Іванович,1933.0,,Ришавка,Коростенський,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B8%D1%82%D0%B2%D0%B8%D0%BD%D0%B5%D1%86%D1%8C_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Житомирська
Марія Гарасовська-Дачишин,Гарасовська-Дачишин Марія,1911.0,,Старий Самбір,Самбірський,,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B0-%D0%94%D0%B0%D1%87%D0%B8%D1%88%D0%B8%D0%BD_%D0%9C%D0%B0%D1%80%D1%96%D1%8F,UK,M,,Львівська
Максим Дондюк,Дондюк Максим,1983.0,,Хмельницька область,,,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D0%B4%D1%8E%D0%BA_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC,UK,M,,Хмельницька
Микола Станиславський,Станиславський Микола Олексійович,1892.0,1937.0,Рудня-Озерянська,Коростенський,,https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Житомирська
Володимир Страшкевич,Страшкевич Володимир Михайлович,1875.0,1962.0,Вишевичі,Житомирський,,https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B0%D1%88%D0%BA%D0%B5%D0%B2%D0%B8%D1%87_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Житомирська
Людмила Сак,Сак Людмила Миколаївна,1910.0,1985.0,Бейрут,البسطة التحتا,,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BA_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%97%D0%B2%D0%BD%D0%B0,AR,M,,Ліван
Лука Костелина,Костелина Лука Ількович,1930.0,,Ялинкувате,Стрийський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%BB%D0%B8%D0%BD%D0%B0_%D0%9B%D1%83%D0%BA%D0%B0_%D0%86%D0%BB%D1%8C%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Львівська
Леонід Черновецький,Черновецький Леонід Михайлович,1951.0,,Харків,Харківський,,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B2%D0%B5%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Харківська
Роман Горак,Горак Роман Дмитрович,1942.0,,Городок,Львівський,,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B0%D0%BA_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Львівська
Леон Пастернак,Леон Пастернак,1910.0,1969.0,Львів,Львівський,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BE%D0%BD_%D0%9F%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%BD%D0%B0%D0%BA,UK,M,,Львівська
Кшановський,Кшановський Станіслав Адольфович,1912.0,1990.0,Дунаєвецький район,Дунаєвецький,,https://uk.wikipedia.org/wiki/%D0%9A%D1%88%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D0%B2_%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Хмельницька
Кузьма Пелехатий,Пелехатий Кузьма Миколайович,1886.0,1952.0,Avstro-ogrsko vojaško pokopališče Banjšice,Banjšice,,https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BB%D0%B5%D1%85%D0%B0%D1%82%D0%B8%D0%B9_%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,SL,M,,Словенія
Костянтин Черненко,Черненко Костянтин Устинович,1911.0,1985.0,Новоселівський район,Красноярський край,,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD_%D0%A3%D1%81%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,Росія
Кость Гордієнко,Гордієнко Кость,,1733.0,,,,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B4%D1%96%D1%94%D0%BD%D0%BA%D0%BE_%D0%9A%D0%BE%D1%81%D1%82%D1%8C,,M,,
Карой Балла,Балла Карой Ласлович,1957.0,,Ужгород,Ужгородський,,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%BB%D0%B0_%D0%9A%D0%B0%D1%80%D0%BE%D0%B9_%D0%9B%D0%B0%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Закарпатська
К. Михальчук,Михальчук Костянтин Петрович,1840.0,1914.0,Зозулинці,Чортківський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%85%D0%B0%D0%BB%D1%8C%D1%87%D1%83%D0%BA_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Тернопільська
Йоріс Івенс,Йоріс Івенс,1898.0,1989.0,Нідерланди,,,https://uk.wikipedia.org/wiki/%D0%99%D0%BE%D1%80%D1%96%D1%81_%D0%86%D0%B2%D0%B5%D0%BD%D1%81,NL,M,,Нідерланди
Зоряна Куньч,Куньч Зоряна Йосипівна,1967.0,,,,,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%BD%D1%8C%D1%87_%D0%97%D0%BE%D1%80%D1%8F%D0%BD%D0%B0_%D0%99%D0%BE%D1%81%D0%B8%D0%BF%D1%96%D0%B2%D0%BD%D0%B0,,M,,
Застирець,Застирець Йосип Якович,1873.0,1943.0,Конюшків,Золочівський,,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%B5%D1%86%D1%8C_%D0%99%D0%BE%D1%81%D0%B8%D0%BF_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Львівська
Жорж Садуль,Жорж Садуль,1904.0,1967.0,Нансі,Meurthe-et-Moselle,,https://uk.wikipedia.org/wiki/%D0%96%D0%BE%D1%80%D0%B6_%D0%A1%D0%B0%D0%B4%D1%83%D0%BB%D1%8C,FR,M,,Франція
Жерар де Нерваль,Жерар де Нерваль,1808.0,1855.0,Париж,Іль-де-Франс,,https://uk.wikipedia.org/wiki/%D0%96%D0%B5%D1%80%D0%B0%D1%80_%D0%B4%D0%B5_%D0%9D%D0%B5%D1%80%D0%B2%D0%B0%D0%BB%D1%8C,FR,M,,Франція
Жан Саніта,Жан Саніта,1927.0,2016.0,Клермон,Oise,,https://uk.wikipedia.org/wiki/%D0%96%D0%B0%D0%BD_%D0%A1%D0%B0%D0%BD%D1%96%D1%82%D0%B0,FR,M,,Франція
Ебергард Гайкен,Ебергард Гайкен,1935.0,2008.0,Агаузен,,,https://uk.wikipedia.org/wiki/%D0%95%D0%B1%D0%B5%D1%80%D0%B3%D0%B0%D1%80%D0%B4_%D0%93%D0%B0%D0%B9%D0%BA%D0%B5%D0%BD,,M,,Третій Рейх
Діана Клочко,Клочко Діана Георгіївна,1963.0,,Радивилівський район,Радивилівський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BB%D0%BE%D1%87%D0%BA%D0%BE_%D0%94%D1%96%D0%B0%D0%BD%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,Рівненська
Дмитро Фальківський,Фальківський Дмитро Никанорович,1898.0,1934.0,Великий Лондон,Англія,,https://uk.wikipedia.org/wiki/%D0%A4%D0%B0%D0%BB%D1%8C%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%9D%D0%B8%D0%BA%D0%B0%D0%BD%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,EN,M,,Велика Британія
Дмитро Гродзинський,Гродзинський Дмитро Михайлович,1929.0,2016.0,Біла Церква,Білоцерківський,,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B4%D0%B7%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Київська
Джордж Рига,Георгій Риґа,1932.0,1987.0,Атабаска,Саскачеван,,https://uk.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D1%96%D0%B9_%D0%A0%D0%B8%D2%91%D0%B0,EN,M,,Канада
Джордж Буш-молодший,Джордж Вокер Буш,1946.0,,Ніуе,,,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6_%D0%92%D0%BE%D0%BA%D0%B5%D1%80_%D0%91%D1%83%D1%88,EN,M,,Ніуе
Джон Мартін,Джон Мартін,1948.0,2009.0,Ніуе,,,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD_%D0%9C%D0%B0%D1%80%D1%82%D1%96%D0%BD,EN,M,,Ніуе
Джамала,Джамала,1983.0,,Ош,Gers,,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%B0%D0%BC%D0%B0%D0%BB%D0%B0,FR,F,,Франція
Дмитро Онкович,Онкович Дмитро Юліанович,1934.0,2011.0,Городоцький район,Городоцький,,https://uk.wikipedia.org/wiki/%D0%9E%D0%BD%D0%BA%D0%BE%D0%B2%D0%B8%D1%87_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%AE%D0%BB%D1%96%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,BE,M,,Хмельницька
Григорій Крук,Крук Григорій Якович,1911.0,,Братишів,Івано-Франківський,,https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D1%83%D0%BA_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,Івано-Франківська
Георгій Димитров,Георгій Димитров,1882.0,1949.0,Ковачевци,Перник,,https://uk.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D1%96%D0%B9_%D0%94%D0%B8%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2,BG,M,,Болга́рія
